index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE,LOSE-RATE,run_index
265,local,88,100,512,2,1024,256,1,false,true,5.3838086144,0.94167449258132,1
266,local,88,100,512,2,1024,256,1,false,true,5.3712605184,0.94178090009831,2
267,local,89,100,1024,2,1024,256,1,false,true,5.6413126656,0.94081955618878,0
268,local,89,100,1024,2,1024,256,1,false,true,5.599145984,0.94132033959965,1
269,local,89,100,1024,2,1024,256,1,false,true,5.6095072256,0.94115482326157,2
270,local,90,100,64,4,1024,256,1,false,true,4.4182550016,0.83733941330082,0
271,local,90,100,64,4,1024,256,1,false,true,4.449108992,0.83614368339942,1
272,local,90,100,64,4,1024,256,1,false,true,4.4080467456,0.83771393569753,2
273,local,91,100,128,4,1024,256,1,false,true,4.994004992,0.90540283051212,0
274,local,91,100,128,4,1024,256,1,false,true,5.0012939264,0.90512247048068,1
275,local,91,100,128,4,1024,256,1,false,true,5.003932672,0.90510030514739,2
276,local,92,100,256,4,1024,256,1,false,true,5.3238288384,0.93940336127653,0
277,local,92,100,256,4,1024,256,1,false,true,5.3159430144,0.93942927214208,1
278,local,92,100,256,4,1024,256,1,false,true,5.3138065408,0.93954127137858,2
279,local,93,100,512,4,1024,256,1,false,true,5.760442368,0.93751562711348,0
280,local,93,100,512,4,1024,256,1,false,true,5.7551265792,0.93753235701939,1
281,local,93,100,512,4,1024,256,1,false,true,5.7881227264,0.93720663813327,2
282,local,94,100,1024,4,1024,256,1,false,true,3.0525005824,0.96811167484966,0
283,local,94,100,1024,4,1024,256,1,false,true,6.1194665984,0.93574378757715,1
284,local,94,100,1024,4,1024,256,1,false,true,6.1139697664,0.93585964013192,2
285,local,95,100,64,8,1024,256,1,false,true,5.0247503872,0.8147488266919,0
286,local,95,100,64,8,1024,256,1,false,true,5.0184429056,0.81480903882098,1
287,local,95,100,64,8,1024,256,1,false,true,5.0073585152,0.81531710669296,2
288,local,96,100,128,8,1024,256,1,false,true,5.1808861184,0.90174316682774,0
289,local,96,100,128,8,1024,256,1,false,true,5.1407586304,0.90256301057054,1
290,local,96,100,128,8,1024,256,1,false,true,5.1045321728,0.90319796839683,2
291,local,97,100,256,8,1024,256,1,false,true,5.7356234752,0.93462151876276,0
292,local,97,100,256,8,1024,256,1,false,true,5.7388617728,0.9345031852189,1
293,local,97,100,256,8,1024,256,1,false,true,5.7455276032,0.93446367363206,2
294,local,98,100,512,8,1024,256,1,false,true,6.3503941632,0.93100459000236,0
295,local,98,100,512,8,1024,256,1,false,true,6.2682468352,0.93192528795174,1
296,local,98,100,512,8,1024,256,1,false,true,6.2637748224,0.93194730482242,2
297,local,99,100,1024,8,1024,256,1,false,true,6.6360393728,0.9302709563578,0
298,local,99,100,1024,8,1024,256,1,false,true,6.6825879552,0.92978064068291,1
299,local,99,100,1024,8,1024,256,1,false,true,6.6211233792,0.93045080091078,2
300,local,100,100,64,1,64,256,2,false,true,2.889349376,0.89267343389749,0
301,local,100,100,64,1,64,256,2,false,true,2.8899279872,0.89251908282171,1
302,local,100,100,64,1,64,256,2,false,true,2.8943105536,0.8923394958363,2
303,local,101,100,128,1,64,256,2,false,true,4.2275012608,0.91926634924798,0
304,local,101,100,128,1,64,256,2,false,true,4.2335368192,0.91905969093169,1
305,local,101,100,128,1,64,256,2,false,true,4.229807104,0.91910830029199,2
306,local,102,100,256,1,64,256,2,false,true,5.8544914432,0.93567138897123,0
307,local,102,100,256,1,64,256,2,false,true,5.862573056,0.93557855359684,1
308,local,102,100,256,1,64,256,2,false,true,5.8701293568,0.93552185280614,2
309,local,103,100,512,1,64,256,2,false,true,7.0551433216,0.92516985736772,0
310,local,103,100,512,1,64,256,2,false,true,7.0599176192,0.92511909532022,1
311,local,103,100,512,1,64,256,2,false,true,7.0627229696,0.92509801572278,2
312,local,104,100,1024,1,64,256,2,false,true,9.981272064,0.89626693013908,0
313,local,104,100,1024,1,64,256,2,false,true,9.970405376,0.89638535475285,1
314,local,104,100,1024,1,64,256,2,false,true,9.9807551488,0.8962760783716,2
315,local,105,100,64,2,64,256,2,false,true,5.7914220544,0.77850987067516,0
316,local,105,100,64,2,64,256,2,false,true,5.7986176512,0.77814633704643,1
317,local,105,100,64,2,64,256,2,false,true,5.7937021952,0.77829175684537,2
318,local,106,100,128,2,64,256,2,false,true,8.98317312,0.82620820548319,0
319,local,106,100,128,2,64,256,2,false,true,8.99276032,0.82610906744429,1
320,local,106,100,128,2,64,256,2,false,true,8.9910286336,0.82608577548886,2
321,local,107,100,256,2,64,256,2,false,true,11.8685200384,0.86742284005438,0
322,local,107,100,256,2,64,256,2,false,true,11.8623961088,0.86767578255513,1
323,local,107,100,256,2,64,256,2,false,true,11.8556551168,0.86516315924216,2
324,local,108,100,512,2,64,256,2,false,true,16.88155136,0.82095668094991,0
325,local,108,100,512,2,64,256,2,false,true,16.8637526016,0.82116053801694,1
326,local,108,100,512,2,64,256,2,false,true,16.8563953664,0.82123831662082,2
327,local,109,100,1024,2,64,256,2,false,true,16.8034172928,0.82538187295403,0
328,local,109,100,1024,2,64,256,2,false,true,16.7791665152,0.82563295943982,1
329,local,109,100,1024,2,64,256,2,false,true,16.7790215168,0.82566251054669,2
330,local,110,100,64,4,64,256,2,false,true,13.6320722944,0.47116886012313,0
331,local,110,100,64,4,64,256,2,false,true,13.6281135104,0.47144105192738,1
332,local,110,100,64,4,64,256,2,false,true,13.6286011904,0.47138198294256,2
333,local,111,100,128,4,64,256,2,false,true,19.2898782208,0.60734255189747,0
334,local,111,100,128,4,64,256,2,false,true,19.2388057088,0.60948188298334,1
