index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
137,local,96,100.0,64,3,1024,256,4,3583385.0,2408.0356608,0.9338602677238,0.016086569058642,0
138,local,96,100.0,64,3,1024,256,4,3560140.0,2392.4150976,0.93401405999863,0.021327239197531,1
139,local,97,0.1,64,3,1024,256,4,145348.0,97.6828416,,0.0011201732253086,0
140,local,98,100.0,256,3,1024,256,4,3505664.0,7740.495456,0.91728606080176,0.012490474537037,0
141,local,98,100.0,256,3,1024,256,4,3473305.0,7669.0462368,0.91810796579529,0.025483148148148,1
142,local,100,100.0,1024,3,1024,256,4,3523788.0,29430.4413696,0.69104473330162,0.016824444058642,0
143,local,100,100.0,1024,3,1024,256,4,3524890.0,29439.637648,0.69005066040439,0.017918775077160002,1
144,local,102,100.0,64,6,1024,256,4,3547545.0,2383.9512864,0.9348375212893,0.027502139660493998,0
145,local,102,100.0,64,6,1024,256,4,3574579.0,2402.117712,0.93418667350337,0.018604211033951,1
146,local,104,100.0,256,6,1024,256,4,3656806.0,8074.2170112,0.91357845360153,0.030962660108025,0
147,local,104,100.0,256,6,1024,256,4,3702169.0,8174.3785248,0.91248451916275,0.024832676311728,1
148,local,106,100.0,1024,6,1024,256,4,3241472.0,27072.5868192,0.71516045748007,0.0092333676697531,0
149,local,106,100.0,1024,6,1024,256,4,3207168.0,26786.0836032,0.71850260499158,0.0092871033950617,1
150,local,108,100.0,64,1,64,256,16,2474963.0,1663.1739488,0.95453700631853,0.013477181712963,0
151,local,108,100.0,64,1,64,256,16,2442220.0,1641.1725888,0.95502594933847,0.012912105709877,1
152,local,109,0.1,64,1,64,256,16,145219.0,97.5968256,0.00066681897757181,0.00043191782407407,0
153,local,109,0.1,64,1,64,256,16,145265.0,97.627824,0.00088380295252088,0.00044341782407407,1
154,local,110,100.0,256,1,64,256,16,2316531.0,5114.8935456,0.94788350286438,0.015533979166667001,0
155,local,110,100.0,256,1,64,256,16,2331155.0,5147.1831936,0.94756810639589,0.014926763503086,1
156,local,111,0.1,256,1,64,256,16,145252.0,320.5807968,0.00066666895998957,0.0007547604166666701,0
157,local,111,0.1,256,1,64,256,16,145271.0,320.6240416,0.00066245666171372,0.00083752854938272,1
158,local,112,100.0,1024,1,64,256,16,2299820.0,19207.9797024,0.80429059253436,0.014913908564814999,0
159,local,112,100.0,1024,1,64,256,16,2302777.0,19232.64456,0.80410881587212,0.015022019675926,1
160,local,113,0.1,1024,1,64,256,16,145335.0,1213.1296512,6.8806455699733e-07,0.0010984116512346,0
161,local,113,0.1,1024,1,64,256,16,145349.0,1213.2377856,,0.001095944058642,1
162,local,114,100.0,64,3,64,256,16,2397795.0,1611.3185632,0.95569622538217,0.026978655478395,0
163,local,114,100.0,64,3,64,256,16,2365120.0,1589.3597184,0.95617001626082,,1
164,local,116,100.0,256,3,64,256,16,2348972.0,5186.5254592,0.94714759442583,0.027372768518518997,0
165,local,116,100.0,256,3,64,256,16,2433984.0,5374.228608,0.94524994720713,0.021274839506173,1
166,local,117,0.1,256,3,64,256,16,145368.0,320.836816,,0.00043932060185185,0
167,local,118,100.0,1024,3,64,256,16,2360278.0,19712.8870496,0.79915017342744,0.027087995370370002,0
168,local,118,100.0,1024,3,64,256,16,2378425.0,19864.4847168,0.7976520815748,0.026797961805556,1
169,local,120,100.0,64,6,64,256,16,2545817.0,1710.7898304,0.95315075872124,0.023242947530864,0
170,local,120,100.0,64,6,64,256,16,2629100.0,1766.7546176,0.95147011819168,,1
171,local,122,100.0,256,6,64,256,16,2546137.0,5621.8653408,0.94269488612899,0.022951479938272002,0
172,local,122,100.0,256,6,64,256,16,2550440.0,5631.3667456,0.94262420777954,0.024444393518518997,1
173,local,124,100.0,1024,6,64,256,16,2151884.0,17972.212704,0.81689335821595,0.028934316358025,0
174,local,124,100.0,1024,6,64,256,16,2137824.0,17854.6805856,0.81809542534701,0.029121466820988,1
175,local,126,100.0,64,1,256,256,16,2493977.0,1675.9532256,0.95439005814599,,0
176,local,126,100.0,64,1,256,256,16,2547916.0,1712.2003488,0.95316895895188,,1
177,local,127,0.1,64,1,256,256,16,145200.0,97.5836544,0.00088351379767815,0.0011526222993827001,0
