index,build,test_index,RATE,SIZE,NTHREADS,TABLE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
127,GPU Coalescent version,9,0.1,256,4,0,145375.0,320.8512768,,0.001094074845679,1
128,GPU Coalescent version,10,100.0,1024,4,0,11340378.0,94714.0932,0.00044224987827657,0.00087034567901235,0
129,GPU Coalescent version,10,100.0,1024,4,0,11257516.0,94022.019072,0.00031071798098492,0.0008736639660493799,1
130,GPU Coalescent version,11,0.1,1024,4,0,145328.0,1213.0762752,0.00013210839493805,0.0011078375771605,0
131,GPU Coalescent version,11,0.1,1024,4,0,145316.0,1212.9693696,,0.0011089000771605,1
132,GPU Coalescent version,12,100.0,64,16,0,42920505.0,29651.9603392,0.038114184905459,0.00029575578703704,0
133,GPU Coalescent version,12,100.0,64,16,0,42865783.0,29661.845504,0.040306048675956,0.00029889274691358,1
134,GPU Coalescent version,13,0.1,64,16,0,145316.0,97.6613376,0.00013210839493805,0.0011184259259259,0
135,GPU Coalescent version,13,0.1,64,16,0,145342.0,97.6794144,0.0001231418649319,0.0011075513117283998,1
136,GPU Coalescent version,14,100.0,256,16,0,28071952.0,61982.8168736,0.00071559733320337,0.00071229899691358,0
137,GPU Coalescent version,14,100.0,256,16,0,28044550.0,61922.2215744,0.00064209730076281,0.00071092168209877,1
138,GPU Coalescent version,15,0.1,256,16,0,145326.0,320.7435264,0.0001155885625117,0.0011196755401235,0
139,GPU Coalescent version,15,0.1,256,16,0,145351.0,320.7993728,6.8793959340008e-05,0.0011250366512346,1
140,GPU Coalescent version,16,100.0,1024,16,0,10878155.0,90853.6269792,0.00045818567990064,0.0014872970679012001,0
141,GPU Coalescent version,16,100.0,1024,16,0,11213112.0,93651.162144,0.00031303536886884,0.0014662978395062,1
142,GPU Coalescent version,17,0.1,1024,16,0,145285.0,1212.7032576,0.00013213612498431,0.0011282542438272002,0
143,GPU Coalescent version,17,0.1,1024,16,0,145321.0,1213.0178112,0.00013623078320313,0.0011310636574073999,1
144,GPU Coalescent version,18,100.0,64,1,3,560280.0,376.5087904,0.98986935817288,,0
145,GPU Coalescent version,18,100.0,64,1,3,563017.0,378.3480864,0.98983529447057,,1
146,GPU Coalescent version,19,0.1,64,1,3,144989.0,97.4421888,0.0024259954424861,0.017586425540123,0
147,GPU Coalescent version,19,0.1,64,1,3,145005.0,97.4528736,0.0024922954157723,0.017778888888889,1
148,GPU Coalescent version,20,100.0,256,1,3,629319.0,1389.5339136,0.98570551384474,,0
149,GPU Coalescent version,20,100.0,256,1,3,631062.0,1393.3842144,0.98566383268465,,1
150,GPU Coalescent version,21,0.1,256,1,3,144945.0,319.9019808,0.0027383480880757,0.016915963348765,0
151,GPU Coalescent version,21,0.1,256,1,3,144995.0,320.0153472,0.0025137451087226,0.01641669058642,1
152,GPU Coalescent version,22,100.0,1024,1,3,671370.0,5607.2405152,0.94219403430347,,0
153,GPU Coalescent version,22,100.0,1024,1,3,665476.0,5558.0177088,0.94270604299044,,1
154,GPU Coalescent version,23,0.1,1024,1,3,144921.0,1209.659712,0.0028163431851445,0.015985752314815,0
155,GPU Coalescent version,23,0.1,1024,1,3,144955.0,1209.9627808,0.0027854827436282,0.016479854552469003,1
156,GPU Coalescent version,24,100.0,64,4,3,958517.0,645.926064,0.98270807050291,,0
157,GPU Coalescent version,24,100.0,64,4,3,957271.0,644.5002144,0.98267987998894,,1
158,GPU Coalescent version,25,0.1,64,4,3,145079.0,97.5023424,0.0018157036694553,0.019066330632716,0
159,GPU Coalescent version,25,0.1,64,4,3,145068.0,97.495344,0.0017938534200879,0.018359557098764998,1
160,GPU Coalescent version,26,100.0,256,4,3,963637.0,2127.706464,0.97798786925982,0.061719104166666997,0
161,GPU Coalescent version,26,100.0,256,4,3,1010240.0,2230.6365696,0.97691751296013,,1
162,GPU Coalescent version,27,0.1,256,4,3,145090.0,320.2225824,0.0019158168740473,0.018891833333333,0
163,GPU Coalescent version,27,0.1,256,4,3,145070.0,320.18008,0.002178321062652,0.018124967978395003,1
164,GPU Coalescent version,28,100.0,1024,4,3,966297.0,8070.4507296,0.9165147316673,0.081112339891975,0
165,GPU Coalescent version,28,100.0,1024,4,3,969030.0,8093.2775904,0.91621245929807,0.064427494984568,1
166,GPU Coalescent version,29,0.1,1024,4,3,145050.0,1210.746528,0.0018765082770736,0.018010585262346,0
167,GPU Coalescent version,29,0.1,1024,4,3,145092.0,1211.101488,0.0017166360263763,0.017143570601852,1
168,GPU Coalescent version,30,100.0,64,16,3,1012814.0,685.0620192,0.98173458931577,0.054610671296296,0
169,GPU Coalescent version,30,100.0,64,16,3,1031876.0,696.7144896,0.98132696350166,,1
170,GPU Coalescent version,31,0.1,64,16,3,145069.0,97.4956224,0.0018405536935956,0.017304923225309,0
171,GPU Coalescent version,31,0.1,64,16,3,145084.0,97.505776,0.0018650863539798,0.017366112654321,1
172,GPU Coalescent version,32,100.0,256,16,3,1032034.0,2278.7310048,0.97655949809802,0.07165637268518499,0
173,GPU Coalescent version,32,100.0,256,16,3,1026892.0,2267.3753472,0.97665426596235,0.062384994984568,1
174,GPU Coalescent version,33,0.1,256,16,3,145088.0,320.2191136,0.0017063824897634,0.017738212962963,0
175,GPU Coalescent version,33,0.1,256,16,3,145090.0,320.2250592,0.0017303966358062,0.017927782407407,1
176,GPU Coalescent version,34,100.0,1024,16,3,998309.0,8337.8389248,0.91370090390801,0.049558235725309,0
177,GPU Coalescent version,34,100.0,1024,16,3,1004236.0,8387.3299296,0.91330100514977,0.049376355709877,1
178,GPU Coalescent version,35,0.1,1024,16,3,145092.0,1211.087904,0.0016836765937303,0.016988003858025,0
179,GPU Coalescent version,35,0.1,1024,16,3,145092.0,1211.1042144,0.0018457520872203,0.016878529706789998,1
180,GPU Coalescent version,36,100.0,64,1,5,5759.0,3.8704608,0.9998970631371,,0
181,GPU Coalescent version,36,100.0,64,1,5,5839.0,3.9239424,0.99989508609328,,1
182,GPU Coalescent version,37,0.1,64,1,5,1533.0,1.030672,0.98944949962017,8.5633238765432,0
183,GPU Coalescent version,37,0.1,64,1,5,2035.0,1.367616,0.98600151327555,8.4034235787037,1
184,GPU Coalescent version,38,100.0,256,1,5,5929.0,13.0924128,0.99986659175442,,0
185,GPU Coalescent version,38,100.0,256,1,5,6036.0,13.3283712,0.99986421546565,,1
186,GPU Coalescent version,39,0.1,256,1,5,2048.0,4.5202848,0.98590321344252,6.5749119718364,0
187,GPU Coalescent version,39,0.1,256,1,5,2087.0,4.6055888,0.98564071589352,4.2495511628086,1
188,GPU Coalescent version,40,100.0,1024,1,5,5819.0,48.6019584,0.99950477323389,,0
189,GPU Coalescent version,40,100.0,1024,1,5,5810.0,48.5326368,0.99950554430013,,1
190,GPU Coalescent version,41,0.1,1024,1,5,2265.0,18.9204544,0.98440983173434,9.087175336033999,0
191,GPU Coalescent version,41,0.1,1024,1,5,1743.0,14.5617888,0.9880050192349,,1
192,GPU Coalescent version,42,100.0,64,4,5,12329.0,8.480112,0.99977949614333,,0
193,GPU Coalescent version,42,100.0,64,4,5,14549.0,10.101904,0.99973924569641,,1
194,GPU Coalescent version,43,0.1,64,4,5,1599.0,1.0749408,0.98899617817743,7.2506645,0
195,GPU Coalescent version,43,0.1,64,4,5,1582.0,1.0634592,0.98911478423223,5.564675677083301,1
196,GPU Coalescent version,44,100.0,256,4,5,13481.0,29.7680352,0.99969666007599,,0
197,GPU Coalescent version,44,100.0,256,4,5,15258.0,33.6935232,0.99965672173329,,1
198,GPU Coalescent version,45,0.1,256,4,5,1831.0,4.043728,0.98739920741943,6.420133010416699,0
199,GPU Coalescent version,45,0.1,256,4,5,1542.0,3.4032384,0.98938995874446,,1
200,GPU Coalescent version,46,100.0,1024,4,5,14157.0,118.2435936,0.99879491684507,,0
201,GPU Coalescent version,46,100.0,1024,4,5,12371.0,103.323712,0.99894706709007,,1
202,GPU Coalescent version,47,0.1,1024,4,5,1426.0,11.9054784,0.99018799744603,9.15971475,0
203,GPU Coalescent version,47,0.1,1024,4,5,1518.0,12.6703008,0.98955346282343,6.015829781635801,1
204,GPU Coalescent version,48,100.0,64,16,5,13476.0,10.051488,0.99975860657041,,0
205,GPU Coalescent version,48,100.0,64,16,5,14407.0,10.2428928,0.99974116995138,,1
206,GPU Coalescent version,49,0.1,64,16,5,1466.0,0.9853536,0.9899112087283,7.616518841821,0
207,GPU Coalescent version,49,0.1,64,16,5,1179.0,0.7924608,0.99188745913459,8.7314749429012,1
208,GPU Coalescent version,50,100.0,256,16,5,15436.0,34.082688,0.99965270349316,,0
209,GPU Coalescent version,50,100.0,256,16,5,15198.0,33.5575456,0.99965810630454,,1
210,GPU Coalescent version,51,0.1,256,16,5,1439.0,3.1771104,0.99009761346499,7.629370109953699,0
211,GPU Coalescent version,51,0.1,256,16,5,1453.0,3.2093472,0.98999892690873,8.6546056188272,1
212,GPU Coalescent version,52,100.0,1024,16,5,14887.0,124.3429824,0.99873273206025,,0
213,GPU Coalescent version,52,100.0,1024,16,5,14954.0,124.9025664,0.99872714384455,,1
214,GPU Coalescent version,53,0.1,1024,16,5,1360.0,11.3530368,0.99063856608016,6.1788908962191,0
215,GPU Coalescent version,53,0.1,1024,16,5,1498.0,12.5129664,0.98969187073763,,1
216,GPU Communication List version,1,0.1,64,1,0,145194.0,97.5798912,0.0011041916629058,0.0017186859567900998,0
217,GPU Communication List version,1,0.1,64,1,0,145232.0,97.6051584,0.0008393278772435,0.0017410856481481001,1
218,GPU Communication List version,2,100.0,256,1,0,6540055.0,14440.4178528,0.84062176245907,0.0008642098765432101,0
219,GPU Communication List version,2,100.0,256,1,0,6547682.0,14457.2640192,0.84039126610236,0.00085084336419753,1
220,GPU Communication List version,3,0.1,256,1,0,145232.0,320.5383072,0.00084138716743531,0.0017676026234568001,0
221,GPU Communication List version,3,0.1,256,1,0,145181.0,320.42496,0.0012389792077138,0.0017360046296296,1
222,GPU Communication List version,4,100.0,1024,1,0,6418924.0,53610.4321696,0.4281972091295,0.0011882739197531,0
223,GPU Communication List version,4,100.0,1024,1,0,6425642.0,53666.546688,0.42753959341717,0.0011832874228395,1
224,GPU Communication List version,5,0.1,1024,1,0,145219.0,1212.1625664,0.00097275193862445,0.0018663028549383,0
225,GPU Communication List version,5,0.1,1024,1,0,145137.0,1211.4696672,0.0013685462790884,0.0019621331018518998,1
226,GPU Communication List version,6,100.0,64,4,0,7135279.0,4794.9091968,0.86684830148188,0.0087221396604938,0
227,GPU Communication List version,6,100.0,64,4,0,7095630.0,4768.2647616,0.86725840027677,0.0089148977623457,1
228,GPU Communication List version,7,0.1,64,4,0,145306.0,97.6550976,0.00020779335157606,0.0018765061728395,0
229,GPU Communication List version,8,100.0,256,4,0,7129207.0,15741.264384,0.82534002568213,0.0088388885030864,0
230,GPU Communication List version,8,100.0,256,4,0,7113947.0,15707.5696656,0.82544994079142,0.008889821759259299,1
231,GPU Communication List version,9,0.1,256,4,0,145331.0,320.7551328,0.00016580074190675,0.0018551666666667,0
232,GPU Communication List version,10,100.0,1024,4,0,6925924.0,57844.8783488,0.38230934084312,0.0087446759259259,0
